,SVC
2005-01,0.05754738402897571
2005-02,0.02714401537105172
2005-03,0.027826333204119154
2005-04,0.012925372684866892
2005-05,0.04283577260005052
2005-06,0.01540994333248589
2005-07,0.07490172530207911
2005-08,0.04992691468940514
2005-09,0.09560231282603586
2005-10,0.09245116869983706
2005-11,0.0998098515353833
2005-12,0.07137125113407007
2006-01,0.05749889911521575
2006-02,0.10323806841728998
2006-03,0.02323559305047251
2006-04,0.05715933891010276
2006-05,0.1377918256531298
2006-06,0.05128130753904201
2006-07,0.09993053705916503
2006-08,0.03800860790465307
2006-09,0.09658166980344157
2006-10,0.06464674441480908
2006-11,0.09976523088852314
2006-12,0.057205813600395276
2007-01,0.07189440959129094
2007-02,0.06127616043046546
2007-03,0.09178801944899855
2007-04,0.1507837460921268
2007-05,0.07289274844244668
2007-06,0.25321590073763983
2007-07,0.20167998337320084
2007-08,0.651787083824338
2007-09,0.13719156958099946
2007-10,0.20484970096832944
2007-11,0.8098466273568908
2007-12,0.7079331754724614
2008-01,0.8986493358713487
2008-02,0.8598593737650447
2008-03,0.9187365190111574
2008-04,0.23616564618266936
2008-05,0.2500368827911971
2008-06,0.2954369299886613
2008-07,0.6228553562374197
2008-08,0.8023589487821099
2008-09,0.8205093107126011
2008-10,0.8377759151407093
2008-11,0.8888107565998462
2008-12,0.10210078846773597
2009-01,0.10719774823265571
2009-02,0.10224159045549161
2009-03,0.10314103295726562
2009-04,0.10434316646166682
2009-05,0.1014724550182132
2009-06,0.11032061552421357
2009-07,0.10484696576467964
2009-08,0.10788834906894147
2009-09,0.10630471430929184
2009-10,0.08003493930016532
2009-11,0.0722421387452555
2009-12,0.10076970429548886
2010-01,0.06434049237124595
2010-02,0.10113162918140427
2010-03,0.09054451355248183
2010-04,0.06493141922962604
2010-05,0.09906193879263503
2010-06,0.06806561296105024
2010-07,0.10868047340049929
2010-08,0.06963246137144984
2010-09,0.07219783998051266
2010-10,0.10370484470884177
2010-11,0.05943031659235759
2010-12,0.09989328339802325
2011-01,0.10805054546084643
2011-02,0.08321759201283518
2011-03,0.05923631497980477
2011-04,0.07244473303016913
2011-05,0.040335951459212475
2011-06,0.04201830971011797
2011-07,0.05911506795889465
2011-08,0.096965578156161
2011-09,0.0724038694690429
2011-10,0.033160691445427236
2011-11,0.07589869526606259
2011-12,0.051183597161326096
2012-01,0.07876404555230346
2012-02,0.04682396786445123
2012-03,0.0826660699059907
2012-04,0.030313584212635282
2012-05,0.057262581694839824
2012-06,0.06386214439062964
2012-07,0.06401434253541613
2012-08,0.09358525990967835
2012-09,0.07902601365713675
2012-10,0.04815819814786297
2012-11,0.06926787033204088
2012-12,0.049830837112993326
2013-01,0.0941065581818022
2013-02,0.029737546816687
2013-03,0.10109967484725116
2013-04,0.041934330049211335
2013-05,0.04206892130362864
2013-06,0.04980729206542819
2013-07,0.06362820113958717
2013-08,0.025082618331897295
2013-09,0.023959547106230612
2013-10,0.03786988652474705
2013-11,0.02635723449671952
2013-12,0.01978678685759724
2014-01,0.09231013780907191
2014-02,0.04179860183448516
2014-03,0.009218535895685555
2014-04,0.027110754203762126
2014-05,0.020975858862249827
2014-06,0.021860309005497923
2014-07,0.017689675843018535
2014-08,0.05093768830407372
2014-09,0.015106542051006838
2014-10,0.02102219066341419
2014-11,0.018884723250821828
2014-12,0.030242692628436856
2015-01,0.05493630314881174
2015-02,0.09442307874860369
2015-03,0.014101687756544346
2015-04,0.015062204779608342
2015-05,0.05494247139033043
2015-06,0.023033466914393255
2015-07,0.008303878439642205
2015-08,0.0606391411344407
2015-09,0.08967658685853953
2015-10,0.042130736306653635
2015-11,0.02639224354415288
2015-12,0.08071953282203355
2016-01,0.07102919457989522
2016-02,0.020567082091497185
2016-03,0.07395321316590663
2016-04,0.014075492956576442
2016-05,0.022222707328479998
2016-06,0.01286835182295956
2016-07,0.010788336114968867
2016-08,0.022144155557826006
2016-09,0.01805282917605863
2016-10,0.019083060180120563
2016-11,0.05660422434639783
2016-12,0.04667681235312794
2017-01,0.027951534007001715
2017-02,0.02932842897544503
2017-03,0.01252337290439718
2017-04,0.011866102191965112
2017-05,0.049249045670069956
2017-06,0.01621015833032546
2017-07,0.04988132830185924
2017-08,0.0494356312562092
2017-09,0.035740763578630395
2017-10,0.02136384845943723
2017-11,0.01616354098420131
2017-12,0.011041988042483035
2018-01,0.05313007402325095
2018-02,0.021211830438523104
2018-03,0.011972656604482025
2018-04,0.02379548031400294
2018-05,0.08195764010015509
2018-06,0.018024081181138865
2018-07,0.017844741345912626
2018-08,0.008144611832796583
2018-09,0.0380617631741152
2018-10,0.07657056464294786
2018-11,0.03897726971830708
2018-12,0.16302310376977125
2019-01,0.03128823483256376
2019-02,0.05763530107545508
2019-03,0.017383848119269643
2019-04,0.03054048609391029
2019-05,0.09182711042216495
2019-06,0.05280530627604207
2019-07,0.0555792902104383
2019-08,0.18481263791478528
2019-09,0.05946778137537066
2019-10,0.08140988206480085
2019-11,0.010386681408805689
2019-12,0.02185422176694622
2020-01,0.0316007097536547
2020-02,0.026280350195110505
2020-03,0.09096759210957844
2020-04,0.0968486558370206
2020-05,0.09855129252892744
2020-06,0.09536763335201677
2020-07,0.09497469492647954
2020-08,0.0990957810827095
2020-09,0.014882627795458415
2020-10,0.007935198890192504
2020-11,0.009135636364374086
2020-12,0.03519040306781563
2021-01,0.09431739252419076
2021-02,0.09769956338368242
